#exp energy a2 a2err J
1293 2.65254e-01   3.01322e-02
1535 2.52693e-01   4.14021e-02
848 2.10632e-01   4.69385e-02
2668 4.32636e-01   1.14275e-01

#exp energy a2 a2err a4 a4err J
#energy a2 a2err a4 a4err
1293 0.284443 0.015773 0.086833 0.021973
1534 0.296394 0.021925 0.168313 0.029910
850 0.227977 0.024765 0.074204 0.034255
2668 0.494864 0.063308 0.177618 0.083236
2322 -0.252241 0.057267 -0.020348 0.082816
1576 0.119633 0.048221 0.035504 0.066865
384 -0.263837 0.047262 0.079870 0.065580
438 -0.075078 0.083059 0.090537 0.114651
779 -0.317502 0.084100 -0.153542 0.125884
1018 -0.004280 0.076031 0.198576 0.105122
1067 0.204233 0.081094 0.215302 0.115563
1456 0.276134 0.123791 0.136603 0.171515
1951 0.564158 0.141142 0.458269 0.196019

#cl exp data
#energy a2 a2err a4 a4err
171 -0.149655 0.005979 -0.029670 0.008947
292 -0.203361 0.003502 0.008818 0.005392
638 -0.163104 0.005634 0.091327 0.008409
755 -0.244869 0.007188 0.130667 0.010802
1190 0.295603 0.006826 -0.083139 0.010103
2044 -0.261609 0.010584 0.248445 0.014928
2680 0.227246 0.007397 0.039821 0.010684
3142 0.319110 0.007284 0.032147 0.010461
1848 0.026217 0.031089 -0.287296 0.050317
1432 -0.233068 0.042483 -0.375196 0.152958
