# a0 a2 a4 a6 delta sigmaJ
1.00000 -0.15820 -0.07334 0.00000 -60.00 3.00
1.00000 -0.15821 -0.07334 0.00000 -59.88 3.00
1.00000 -0.15821 -0.07334 0.00000 -59.76 3.00
1.00000 -0.15822 -0.07334 0.00000 -59.64 3.00
1.00000 -0.15823 -0.07334 0.00000 -59.52 3.00
1.00000 -0.15824 -0.07334 0.00000 -59.40 3.00
1.00000 -0.15824 -0.07334 0.00000 -59.28 3.00
1.00000 -0.15825 -0.07334 0.00000 -59.16 3.00
1.00000 -0.15826 -0.07334 0.00000 -59.04 3.00
1.00000 -0.15827 -0.07334 0.00000 -58.92 3.00
1.00000 -0.15828 -0.07334 0.00000 -58.80 3.00
1.00000 -0.15828 -0.07334 0.00000 -58.68 3.00
1.00000 -0.15829 -0.07334 0.00000 -58.56 3.00
1.00000 -0.15830 -0.07334 0.00000 -58.44 3.00
1.00000 -0.15831 -0.07334 0.00000 -58.32 3.00
1.00000 -0.15832 -0.07334 0.00000 -58.20 3.00
1.00000 -0.15832 -0.07334 0.00000 -58.08 3.00
1.00000 -0.15833 -0.07334 0.00000 -57.96 3.00
1.00000 -0.15834 -0.07334 0.00000 -57.84 3.00
1.00000 -0.15835 -0.07334 0.00000 -57.72 3.00
1.00000 -0.15836 -0.07334 0.00000 -57.60 3.00
1.00000 -0.15837 -0.07334 0.00000 -57.48 3.00
1.00000 -0.15837 -0.07334 0.00000 -57.36 3.00
1.00000 -0.15838 -0.07334 0.00000 -57.24 3.00
1.00000 -0.15839 -0.07334 0.00000 -57.12 3.00
1.00000 -0.15840 -0.07334 0.00000 -57.00 3.00
1.00000 -0.15841 -0.07334 0.00000 -56.88 3.00
1.00000 -0.15842 -0.07334 0.00000 -56.76 3.00
1.00000 -0.15842 -0.07334 0.00000 -56.64 3.00
1.00000 -0.15843 -0.07334 0.00000 -56.52 3.00
1.00000 -0.15844 -0.07334 0.00000 -56.40 3.00
1.00000 -0.15845 -0.07334 0.00000 -56.28 3.00
1.00000 -0.15846 -0.07334 0.00000 -56.16 3.00
1.00000 -0.15847 -0.07334 0.00000 -56.04 3.00
1.00000 -0.15848 -0.07334 0.00000 -55.92 3.00
1.00000 -0.15849 -0.07334 0.00000 -55.80 3.00
1.00000 -0.15849 -0.07334 0.00000 -55.68 3.00
1.00000 -0.15850 -0.07334 0.00000 -55.56 3.00
1.00000 -0.15851 -0.07334 0.00000 -55.44 3.00
1.00000 -0.15852 -0.07333 0.00000 -55.32 3.00
1.00000 -0.15853 -0.07333 0.00000 -55.20 3.00
1.00000 -0.15854 -0.07333 0.00000 -55.08 3.00
1.00000 -0.15855 -0.07333 0.00000 -54.96 3.00
1.00000 -0.15856 -0.07333 0.00000 -54.84 3.00
1.00000 -0.15857 -0.07333 0.00000 -54.72 3.00
1.00000 -0.15858 -0.07333 0.00000 -54.60 3.00
1.00000 -0.15858 -0.07333 0.00000 -54.48 3.00
1.00000 -0.15859 -0.07333 0.00000 -54.36 3.00
1.00000 -0.15860 -0.07333 0.00000 -54.24 3.00
1.00000 -0.15861 -0.07333 0.00000 -54.12 3.00
1.00000 -0.15862 -0.07333 0.00000 -54.00 3.00
1.00000 -0.15863 -0.07333 0.00000 -53.88 3.00
1.00000 -0.15864 -0.07333 0.00000 -53.76 3.00
1.00000 -0.15865 -0.07333 0.00000 -53.64 3.00
1.00000 -0.15866 -0.07333 0.00000 -53.52 3.00
1.00000 -0.15867 -0.07333 0.00000 -53.40 3.00
1.00000 -0.15868 -0.07333 0.00000 -53.28 3.00
1.00000 -0.15869 -0.07333 0.00000 -53.16 3.00
1.00000 -0.15870 -0.07333 0.00000 -53.04 3.00
1.00000 -0.15871 -0.07333 0.00000 -52.92 3.00
1.00000 -0.15872 -0.07333 0.00000 -52.80 3.00
1.00000 -0.15873 -0.07333 0.00000 -52.68 3.00
1.00000 -0.15874 -0.07333 0.00000 -52.56 3.00
1.00000 -0.15875 -0.07333 0.00000 -52.44 3.00
1.00000 -0.15876 -0.07333 0.00000 -52.32 3.00
1.00000 -0.15877 -0.07333 0.00000 -52.20 3.00
1.00000 -0.15878 -0.07333 0.00000 -52.08 3.00
1.00000 -0.15879 -0.07333 0.00000 -51.96 3.00
1.00000 -0.15880 -0.07333 0.00000 -51.84 3.00
1.00000 -0.15881 -0.07333 0.00000 -51.72 3.00
1.00000 -0.15882 -0.07333 0.00000 -51.60 3.00
1.00000 -0.15883 -0.07333 0.00000 -51.48 3.00
1.00000 -0.15884 -0.07333 0.00000 -51.36 3.00
1.00000 -0.15885 -0.07333 0.00000 -51.24 3.00
1.00000 -0.15886 -0.07333 0.00000 -51.12 3.00
1.00000 -0.15887 -0.07333 0.00000 -51.00 3.00
1.00000 -0.15888 -0.07333 0.00000 -50.88 3.00
1.00000 -0.15889 -0.07333 0.00000 -50.76 3.00
1.00000 -0.15890 -0.07333 0.00000 -50.64 3.00
1.00000 -0.15891 -0.07333 0.00000 -50.52 3.00
1.00000 -0.15892 -0.07333 0.00000 -50.40 3.00
1.00000 -0.15893 -0.07333 0.00000 -50.28 3.00
