# a0 a2 a4 a6 delta sigma
1.00000 0.71429 -1.71429 0.00000 0.00 0.10
1.00000 0.71429 -1.71429 0.00000 0.00 0.10
1.00000 0.71429 -1.71429 0.00000 0.00 0.11
1.00000 0.71429 -1.71429 0.00000 0.00 0.11
1.00000 0.71429 -1.71429 0.00000 0.00 0.11
1.00000 0.71429 -1.71429 0.00000 0.00 0.12
1.00000 0.71429 -1.71429 0.00000 0.00 0.12
1.00000 0.71429 -1.71429 0.00000 0.00 0.12
1.00000 0.71429 -1.71429 0.00000 0.00 0.12
1.00000 0.71429 -1.71429 0.00000 0.00 0.13
1.00000 0.71429 -1.71429 0.00000 0.00 0.13
1.00000 0.71429 -1.71429 0.00000 0.00 0.13
1.00000 0.71429 -1.71429 0.00000 0.00 0.14
1.00000 0.71429 -1.71429 0.00000 0.00 0.14
1.00000 0.71429 -1.71429 0.00000 0.00 0.14
1.00000 0.71429 -1.71429 0.00000 0.00 0.15
1.00000 0.71429 -1.71429 0.00000 0.00 0.15
1.00000 0.71429 -1.71429 0.00000 0.00 0.15
1.00000 0.71429 -1.71429 0.00000 0.00 0.15
1.00000 0.71429 -1.71429 0.00000 0.00 0.16
1.00000 0.71429 -1.71429 0.00000 0.00 0.16
1.00000 0.71429 -1.71429 0.00000 0.00 0.16
1.00000 0.71429 -1.71429 0.00000 0.00 0.17
1.00000 0.71429 -1.71429 0.00000 0.00 0.17
1.00000 0.71429 -1.71429 0.00000 0.00 0.17
1.00000 0.71429 -1.71429 0.00000 0.00 0.17
1.00000 0.71429 -1.71428 0.00000 0.00 0.18
1.00000 0.71429 -1.71428 0.00000 0.00 0.18
1.00000 0.71429 -1.71428 0.00000 0.00 0.18
1.00000 0.71429 -1.71428 0.00000 0.00 0.19
1.00000 0.71429 -1.71428 0.00000 0.00 0.19
1.00000 0.71428 -1.71428 0.00000 0.00 0.19
1.00000 0.71428 -1.71427 0.00000 0.00 0.20
1.00000 0.71428 -1.71427 0.00000 0.00 0.20
1.00000 0.71428 -1.71426 0.00000 0.00 0.20
1.00000 0.71428 -1.71425 0.00000 0.00 0.21
1.00000 0.71428 -1.71423 0.00000 0.00 0.21
1.00000 0.71428 -1.71421 0.00000 0.00 0.21
1.00000 0.71427 -1.71418 0.00000 0.00 0.21
1.00000 0.71427 -1.71415 0.00000 0.00 0.22
1.00000 0.71426 -1.71410 0.00000 0.00 0.22
1.00000 0.71426 -1.71404 0.00000 0.00 0.22
1.00000 0.71425 -1.71397 0.00000 0.00 0.23
1.00000 0.71423 -1.71387 0.00000 0.00 0.23
1.00000 0.71422 -1.71376 0.00000 0.00 0.23
1.00000 0.71420 -1.71362 0.00000 0.00 0.24
1.00000 0.71418 -1.71345 0.00000 0.00 0.24
1.00000 0.71416 -1.71324 0.00000 0.00 0.24
1.00000 0.71412 -1.71300 0.00000 0.00 0.24
1.00000 0.71409 -1.71271 0.00000 0.00 0.25
1.00000 0.71405 -1.71237 0.00000 0.00 0.25
1.00000 0.71400 -1.71197 0.00000 0.00 0.25
1.00000 0.71394 -1.71151 0.00000 0.00 0.26
1.00000 0.71387 -1.71098 0.00000 0.00 0.26
1.00000 0.71380 -1.71037 0.00000 0.00 0.26
1.00000 0.71371 -1.70967 0.00000 0.00 0.27
1.00000 0.71361 -1.70888 0.00000 0.00 0.27
1.00000 0.71350 -1.70799 0.00000 0.00 0.27
1.00000 0.71337 -1.70698 0.00000 0.00 0.27
1.00000 0.71323 -1.70586 0.00000 0.00 0.28
1.00000 0.71308 -1.70461 0.00000 0.00 0.28
1.00000 0.71290 -1.70322 0.00000 0.00 0.28
1.00000 0.71271 -1.70169 0.00000 0.00 0.29
1.00000 0.71250 -1.70000 0.00000 0.00 0.29
1.00000 0.71227 -1.69815 0.00000 0.00 0.29
1.00000 0.71202 -1.69613 0.00000 0.00 0.30
1.00000 0.71174 -1.69393 0.00000 0.00 0.30
1.00000 0.71144 -1.69155 0.00000 0.00 0.30
1.00000 0.71112 -1.68897 0.00000 0.00 0.30
1.00000 0.71077 -1.68619 0.00000 0.00 0.31
1.00000 0.71040 -1.68320 0.00000 0.00 0.31
1.00000 0.71000 -1.67999 0.00000 0.00 0.31
1.00000 0.70957 -1.67656 0.00000 0.00 0.32
1.00000 0.70911 -1.67291 0.00000 0.00 0.32
1.00000 0.70863 -1.66903 0.00000 0.00 0.32
1.00000 0.70811 -1.66490 0.00000 0.00 0.33
1.00000 0.70757 -1.66054 0.00000 0.00 0.33
1.00000 0.70699 -1.65594 0.00000 0.00 0.33
1.00000 0.70639 -1.65109 0.00000 0.00 0.33
1.00000 0.70575 -1.64599 0.00000 0.00 0.34
1.00000 0.70508 -1.64063 0.00000 0.00 0.34
1.00000 0.70438 -1.63503 0.00000 0.00 0.34
1.00000 0.70365 -1.62918 0.00000 0.00 0.35
1.00000 0.70288 -1.62307 0.00000 0.00 0.35
1.00000 0.70209 -1.61671 0.00000 0.00 0.35
1.00000 0.70126 -1.61011 0.00000 0.00 0.35
1.00000 0.70041 -1.60325 0.00000 0.00 0.36
1.00000 0.69952 -1.59615 0.00000 0.00 0.36
1.00000 0.69860 -1.58881 0.00000 0.00 0.36
1.00000 0.69765 -1.58123 0.00000 0.00 0.37
1.00000 0.69668 -1.57341 0.00000 0.00 0.37
1.00000 0.69567 -1.56536 0.00000 0.00 0.37
1.00000 0.69463 -1.55709 0.00000 0.00 0.38
1.00000 0.69357 -1.54860 0.00000 0.00 0.38
1.00000 0.69248 -1.53989 0.00000 0.00 0.38
1.00000 0.69137 -1.53097 0.00000 0.00 0.39
1.00000 0.69023 -1.52186 0.00000 0.00 0.39
1.00000 0.68906 -1.51254 0.00000 0.00 0.39
1.00000 0.68787 -1.50304 0.00000 0.00 0.39
1.00000 0.68666 -1.49335 0.00000 0.00 0.40
1.00000 0.68543 -1.48349 0.00000 0.00 0.40
1.00000 0.68417 -1.47346 0.00000 0.00 0.40
1.00000 0.68290 -1.46327 0.00000 0.00 0.41
1.00000 0.68160 -1.45293 0.00000 0.00 0.41
1.00000 0.68029 -1.44245 0.00000 0.00 0.41
1.00000 0.67896 -1.43183 0.00000 0.00 0.42
1.00000 0.67761 -1.42108 0.00000 0.00 0.42
1.00000 0.67625 -1.41021 0.00000 0.00 0.42
1.00000 0.67487 -1.39923 0.00000 0.00 0.42
1.00000 0.67348 -1.38814 0.00000 0.00 0.43
1.00000 0.67208 -1.37696 0.00000 0.00 0.43
1.00000 0.67066 -1.36569 0.00000 0.00 0.43
1.00000 0.66923 -1.35433 0.00000 0.00 0.44
