==== Histogram : hg3, FitMethod: fitNGauss, BG = 50 
 ==== Chi-Sq : 3158081.622719 , NDF : 3928, BG-Sigma2 : 23161.545251 
 ============= Fit Result: reduced Chi-squared = 0.034712
  0 , count:      356( 22), mean: 138.6000(  0.0000), sigma:   2.3000(  0.0000) 
  1 , count:      102( 16), mean: 169.4000(  0.0000), sigma:   2.6000(  0.0000) 
  2 , count:       80( 15), mean: 292.0000(  0.0000), sigma:   1.5000(  0.0000) 
  3 , count:       95( 20), mean: 306.4000(  0.0000), sigma:   2.9000(  0.0000) 
  4 , count:      217( 19), mean: 383.7000(  0.0000), sigma:   1.4000(  0.0000) 
  5 , count:      104( 17), mean: 438.4000(  0.0000), sigma:   1.7000(  0.0000) 
  6 , count:       22( 11), mean: 555.4000(  0.0000), sigma:   1.5000(  0.0000) 
  7 , count:       91( 17), mean: 558.9000(  0.0000), sigma:   1.5000(  0.0000) 
  8 , count:       50( 15), mean: 638.0000(  0.0000), sigma:   1.6000(  0.0000) 
  9 , count:       38( 16), mean: 725.2000(  0.0000), sigma:   1.6000(  0.0000) 
 10 , count:       16( 11), mean: 755.9000(  0.0000), sigma:   1.6000(  0.0000) 
 11 , count:       82( 20), mean: 759.7000(  0.0000), sigma:   1.6000(  0.0000) 
 12 , count:       36( 14), mean: 774.3000(  0.0000), sigma:   1.6000(  0.0000) 
 13 , count:      194( 22), mean: 779.8000(  0.0000), sigma:   1.6000(  0.0000) 
 14 , count:       48( 16), mean: 788.3000(  0.0000), sigma:   1.6000(  0.0000) 
 15 , count:       63( 14), mean: 809.6000(  0.0000), sigma:   1.6000(  0.0000) 
 16 , count:       67( 17), mean: 822.0000(  0.0000), sigma:   1.6000(  0.0000) 
 17 , count:      178( 20), mean: 830.2000(  0.0000), sigma:   1.6000(  0.0000) 
 18 , count:       68( 19), mean: 844.5000(  0.0000), sigma:   1.9000(  0.0000) 
 19 , count:      949( 37), mean: 850.1000(  0.0000), sigma:   1.9000(  0.0000) 
 20 , count:       86( 20), mean: 886.6000(  0.0000), sigma:   1.9000(  0.0000) 
 21 , count:       26( 20), mean: 905.4000(  0.0000), sigma:   2.5000(  0.0000) 
 22 , count:       35( 19), mean: 944.9000(  0.0000), sigma:   2.5000(  0.0000) 
 23 , count:      331( 27), mean: 1019.6000(  0.0000), sigma:   2.5000(  0.0000) 
 24 , count:       75( 20), mean: 1029.9000(  0.0000), sigma:   2.5000(  0.0000) 
 25 , count:      298( 26), mean: 1066.9000(  0.0000), sigma:   2.5000(  0.0000) 
 26 , count:       59( 18), mean: 1134.0000(  0.0000), sigma:   2.5000(  0.0000) 
